time,volt,current,compound
0.0100,-1.6000,0.0000,(Zn+Cu)5
0.0200,-1.6000,0.0000,(Zn+Cu)5
0.0300,-1.6000,0.0000,(Zn+Cu)5
0.0400,-1.6000,0.0000,(Zn+Cu)5
0.0500,-1.6000,0.0000,(Zn+Cu)5
0.0600,-1.6000,0.0000,(Zn+Cu)5
0.0700,-1.6000,0.0000,(Zn+Cu)5
0.0800,-1.6000,0.0000,(Zn+Cu)5
0.0900,-1.6000,0.0000,(Zn+Cu)5
0.1000,-1.6000,0.0000,(Zn+Cu)5
0.1100,-1.6000,0.0000,(Zn+Cu)5
0.1200,-1.6000,0.0000,(Zn+Cu)5
0.1300,-1.6000,0.0000,(Zn+Cu)5
0.1400,-1.6000,0.0000,(Zn+Cu)5
0.1500,-1.6000,0.0000,(Zn+Cu)5
0.1600,-1.6000,0.0000,(Zn+Cu)5
0.1700,-1.6000,0.0000,(Zn+Cu)5
0.1800,-1.6000,0.0000,(Zn+Cu)5
0.1900,-1.6000,0.0000,(Zn+Cu)5
0.2000,-1.6000,0.0000,(Zn+Cu)5
0.2100,-1.6000,0.0000,(Zn+Cu)5
0.2200,-1.6000,0.0000,(Zn+Cu)5
0.2300,-1.6000,0.0000,(Zn+Cu)5
0.2400,-1.6000,0.0000,(Zn+Cu)5
0.2500,-1.6000,0.0000,(Zn+Cu)5
0.2600,-1.6000,0.0000,(Zn+Cu)5
0.2700,-1.6000,0.0000,(Zn+Cu)5
0.2800,-1.6000,0.0000,(Zn+Cu)5
0.2900,-1.6000,0.0000,(Zn+Cu)5
0.3000,-1.6000,0.0000,(Zn+Cu)5
0.3100,-1.6000,0.0000,(Zn+Cu)5
0.3200,-1.6000,0.0000,(Zn+Cu)5
0.3300,-1.6000,0.0000,(Zn+Cu)5
0.3400,-1.6000,0.0000,(Zn+Cu)5
0.3500,-1.6000,0.0000,(Zn+Cu)5
0.3600,-1.6000,0.0000,(Zn+Cu)5
0.3700,-1.6000,0.0000,(Zn+Cu)5
0.3800,-1.6000,0.0000,(Zn+Cu)5
0.3900,-1.6000,0.0000,(Zn+Cu)5
0.4000,-1.6000,0.0000,(Zn+Cu)5
0.4100,-1.6000,0.0000,(Zn+Cu)5
0.4200,-1.6000,0.0000,(Zn+Cu)5
0.4300,-1.6000,0.0000,(Zn+Cu)5
0.4400,-1.6000,0.0000,(Zn+Cu)5
0.4500,-1.6000,0.0000,(Zn+Cu)5
0.4600,-1.6000,0.0000,(Zn+Cu)5
0.4700,-1.6000,0.0000,(Zn+Cu)5
0.4800,-1.6000,0.0000,(Zn+Cu)5
0.4900,-1.6000,0.0000,(Zn+Cu)5
0.5000,-1.6000,0.0000,(Zn+Cu)5
0.5100,-1.6000,0.0000,(Zn+Cu)5
0.5200,-1.6000,0.0000,(Zn+Cu)5
0.5300,-1.6000,0.0000,(Zn+Cu)5
0.5400,-1.6000,0.0000,(Zn+Cu)5
0.5500,-1.6000,0.0000,(Zn+Cu)5
0.5600,-1.6000,0.0000,(Zn+Cu)5
0.5700,-1.6000,0.0000,(Zn+Cu)5
0.5800,-1.6000,0.0000,(Zn+Cu)5
0.5900,-1.6000,0.0000,(Zn+Cu)5
0.6000,-1.6000,0.0000,(Zn+Cu)5
0.6100,-1.6000,0.0000,(Zn+Cu)5
0.6200,-1.6000,0.0000,(Zn+Cu)5
0.6300,-1.6000,0.0000,(Zn+Cu)5
0.6400,-1.6000,0.0000,(Zn+Cu)5
0.6500,-1.6000,0.0000,(Zn+Cu)5
0.6600,-1.6000,0.0000,(Zn+Cu)5
0.6700,-1.6000,0.0000,(Zn+Cu)5
0.6800,-1.6000,0.0000,(Zn+Cu)5
0.6900,-1.6000,0.0000,(Zn+Cu)5
0.7000,-1.6000,0.0000,(Zn+Cu)5
0.7100,-1.6000,0.0000,(Zn+Cu)5
0.7200,-1.6000,0.0000,(Zn+Cu)5
0.7300,-1.6000,0.0000,(Zn+Cu)5
0.7400,-1.6000,0.0000,(Zn+Cu)5
0.7500,-1.6000,0.0000,(Zn+Cu)5
0.7600,-1.6000,0.0000,(Zn+Cu)5
0.7700,-1.6000,0.0000,(Zn+Cu)5
0.7800,-1.6000,0.0000,(Zn+Cu)5
0.7900,-1.6000,0.0000,(Zn+Cu)5
0.8000,-1.6000,0.0000,(Zn+Cu)5
0.8100,-1.6000,0.0000,(Zn+Cu)5
0.8200,-1.6000,0.0000,(Zn+Cu)5
0.8300,-1.6000,0.0000,(Zn+Cu)5
0.8400,-1.6000,0.0000,(Zn+Cu)5
0.8500,-1.6000,0.0000,(Zn+Cu)5
0.8600,-1.6000,0.0000,(Zn+Cu)5
0.8700,-1.6000,0.0000,(Zn+Cu)5
0.8800,-1.6000,0.0000,(Zn+Cu)5
0.8900,-1.6000,0.0000,(Zn+Cu)5
0.9000,-1.6000,0.0000,(Zn+Cu)5
0.9100,-1.6000,0.0000,(Zn+Cu)5
0.9200,-1.6000,0.0000,(Zn+Cu)5
0.9300,-1.6000,0.0000,(Zn+Cu)5
0.9400,-1.6000,0.0000,(Zn+Cu)5
0.9500,-1.6000,0.0000,(Zn+Cu)5
0.9600,-1.6000,0.0000,(Zn+Cu)5
0.9700,-1.6000,0.0000,(Zn+Cu)5
0.9800,-1.6000,0.0000,(Zn+Cu)5
0.9900,-1.6000,0.0000,(Zn+Cu)5
1.0100,-1.5950,0.0000,(Zn+Cu)5
1.0200,-1.5900,0.0000,(Zn+Cu)5
1.0300,-1.5850,0.0000,(Zn+Cu)5
1.0400,-1.5800,0.0000,(Zn+Cu)5
1.0500,-1.5750,0.0000,(Zn+Cu)5
1.0600,-1.5700,0.0000,(Zn+Cu)5
1.0700,-1.5650,0.0000,(Zn+Cu)5
1.0800,-1.5600,0.0000,(Zn+Cu)5
1.0900,-1.5550,0.0000,(Zn+Cu)5
1.1000,-1.5500,0.0000,(Zn+Cu)5
1.1100,-1.5450,0.0000,(Zn+Cu)5
1.1200,-1.5400,0.0000,(Zn+Cu)5
1.1300,-1.5350,0.0000,(Zn+Cu)5
1.1400,-1.5300,0.0000,(Zn+Cu)5
1.1500,-1.5250,0.0000,(Zn+Cu)5
1.1600,-1.5200,0.0000,(Zn+Cu)5
1.1700,-1.5150,0.0000,(Zn+Cu)5
1.1800,-1.5100,0.0000,(Zn+Cu)5
1.1900,-1.5050,0.0000,(Zn+Cu)5
1.2000,-1.5000,0.0000,(Zn+Cu)5
1.2100,-1.4950,0.0000,(Zn+Cu)5
1.2200,-1.4900,0.0000,(Zn+Cu)5
1.2300,-1.4850,0.0000,(Zn+Cu)5
1.2400,-1.4800,0.0000,(Zn+Cu)5
1.2500,-1.4750,0.0000,(Zn+Cu)5
1.2600,-1.4700,0.0000,(Zn+Cu)5
1.2700,-1.4650,0.0000,(Zn+Cu)5
1.2800,-1.4600,0.0000,(Zn+Cu)5
1.2900,-1.4550,0.0000,(Zn+Cu)5
1.3000,-1.4500,0.0000,(Zn+Cu)5
1.3100,-1.4450,13.0071,(Zn+Cu)5
1.3200,-1.4400,41.5231,(Zn+Cu)5
1.3300,-1.4350,69.8674,(Zn+Cu)5
1.3400,-1.4300,97.9191,(Zn+Cu)5
1.3500,-1.4250,126.2166,(Zn+Cu)5
1.3600,-1.4200,153.5350,(Zn+Cu)5
1.3700,-1.4150,180.9183,(Zn+Cu)5
1.3800,-1.4100,212.0674,(Zn+Cu)5
1.3900,-1.4050,238.6263,(Zn+Cu)5
1.4000,-1.4000,264.1832,(Zn+Cu)5
1.4100,-1.3950,289.4921,(Zn+Cu)5
1.4200,-1.3900,314.5327,(Zn+Cu)5
1.4300,-1.3850,339.2203,(Zn+Cu)5
1.4400,-1.3800,362.7787,(Zn+Cu)5
1.4500,-1.3750,386.5932,(Zn+Cu)5
1.4600,-1.3700,413.8210,(Zn+Cu)5
1.4700,-1.3650,435.8738,(Zn+Cu)5
1.4800,-1.3600,457.3296,(Zn+Cu)5
1.4900,-1.3550,477.8646,(Zn+Cu)5
1.5000,-1.3500,499.3392,(Zn+Cu)5
1.5100,-1.3450,495.1972,(Zn+Cu)5
1.5200,-1.3400,487.1101,(Zn+Cu)5
1.5300,-1.3350,478.1501,(Zn+Cu)5
1.5400,-1.3300,468.1141,(Zn+Cu)5
1.5500,-1.3250,462.6273,(Zn+Cu)5
1.5600,-1.3200,452.0633,(Zn+Cu)5
1.5700,-1.3150,442.9918,(Zn+Cu)5
1.5800,-1.3100,427.5296,(Zn+Cu)5
1.5900,-1.3050,418.4869,(Zn+Cu)5
1.6000,-1.3000,408.5550,(Zn+Cu)5
1.6100,-1.2950,399.8764,(Zn+Cu)5
1.6200,-1.2900,390.1569,(Zn+Cu)5
1.6300,-1.2850,383.0452,(Zn+Cu)5
1.6400,-1.2800,373.3693,(Zn+Cu)5
1.6500,-1.2750,364.0571,(Zn+Cu)5
1.6600,-1.2700,350.1250,(Zn+Cu)5
1.6700,-1.2650,340.0094,(Zn+Cu)5
1.6800,-1.2600,331.0150,(Zn+Cu)5
1.6900,-1.2550,320.7953,(Zn+Cu)5
1.7000,-1.2500,311.4124,(Zn+Cu)5
1.7100,-1.2450,302.3115,(Zn+Cu)5
1.7200,-1.2400,294.9707,(Zn+Cu)5
1.7300,-1.2350,286.3226,(Zn+Cu)5
1.7400,-1.2300,276.7695,(Zn+Cu)5
1.7500,-1.2250,264.2806,(Zn+Cu)5
1.7600,-1.2200,255.9341,(Zn+Cu)5
1.7700,-1.2150,246.7838,(Zn+Cu)5
1.7800,-1.2100,238.4362,(Zn+Cu)5
1.7900,-1.2050,229.9132,(Zn+Cu)5
1.8000,-1.2000,223.0550,(Zn+Cu)5
1.8100,-1.1950,215.0519,(Zn+Cu)5
1.8200,-1.1900,207.3484,(Zn+Cu)5
1.8300,-1.1850,196.9175,(Zn+Cu)5
1.8400,-1.1800,189.6376,(Zn+Cu)5
1.8500,-1.1750,182.1089,(Zn+Cu)5
1.8600,-1.1700,175.0336,(Zn+Cu)5
1.8700,-1.1650,167.4843,(Zn+Cu)5
1.8800,-1.1600,161.6580,(Zn+Cu)5
1.8900,-1.1550,155.2930,(Zn+Cu)5
1.9000,-1.1500,148.8825,(Zn+Cu)5
1.9100,-1.1450,142.5892,(Zn+Cu)5
1.9200,-1.1400,134.9090,(Zn+Cu)5
1.9300,-1.1350,128.9298,(Zn+Cu)5
1.9400,-1.1300,124.0210,(Zn+Cu)5
1.9500,-1.1250,118.2558,(Zn+Cu)5
1.9600,-1.1200,113.5069,(Zn+Cu)5
1.9700,-1.1150,109.6056,(Zn+Cu)5
1.9800,-1.1100,105.2850,(Zn+Cu)5
1.9900,-1.1050,101.5438,(Zn+Cu)5
2.0000,-1.1000,95.9847,(Zn+Cu)5
2.0100,-1.0950,92.0710,(Zn+Cu)5
2.0200,-1.0900,88.7625,(Zn+Cu)5
2.0300,-1.0850,86.9158,(Zn+Cu)5
2.0400,-1.0800,83.7409,(Zn+Cu)5
2.0500,-1.0750,82.0127,(Zn+Cu)5
2.0600,-1.0700,79.8152,(Zn+Cu)5
2.0700,-1.0650,77.9245,(Zn+Cu)5
2.0800,-1.0600,75.1019,(Zn+Cu)5
2.0900,-1.0550,73.1826,(Zn+Cu)5
2.1000,-1.0500,71.9813,(Zn+Cu)5
2.1100,-1.0450,70.0509,(Zn+Cu)5
2.1200,-1.0400,68.8496,(Zn+Cu)5
2.1300,-1.0350,66.6967,(Zn+Cu)5
2.1400,-1.0300,66.0615,(Zn+Cu)5
2.1500,-1.0250,63.3737,(Zn+Cu)5
2.1600,-1.0200,61.2338,(Zn+Cu)5
2.1700,-1.0150,57.8409,(Zn+Cu)5
2.1800,-1.0100,55.5920,(Zn+Cu)5
2.1900,-1.0050,53.3165,(Zn+Cu)5
2.2000,-1.0000,50.7190,(Zn+Cu)5
2.2100,-0.9950,48.9447,(Zn+Cu)5
2.2200,-0.9900,47.7511,(Zn+Cu)5
2.2300,-0.9850,45.3598,(Zn+Cu)5
2.2400,-0.9800,43.9173,(Zn+Cu)5
2.2500,-0.9750,41.7628,(Zn+Cu)5
2.2600,-0.9700,39.9915,(Zn+Cu)5
2.2700,-0.9650,39.0248,(Zn+Cu)5
2.2800,-0.9600,37.7167,(Zn+Cu)5
2.2900,-0.9550,36.7376,(Zn+Cu)5
2.3000,-0.9500,35.5351,(Zn+Cu)5
2.3100,-0.9450,35.4729,(Zn+Cu)5
2.3200,-0.9400,34.4665,(Zn+Cu)5
2.3300,-0.9350,33.2859,(Zn+Cu)5
2.3400,-0.9300,32.3059,(Zn+Cu)5
2.3500,-0.9250,31.4432,(Zn+Cu)5
2.3600,-0.9200,30.8248,(Zn+Cu)5
2.3700,-0.9150,30.1967,(Zn+Cu)5
2.3800,-0.9100,29.5358,(Zn+Cu)5
2.3900,-0.9050,29.7110,(Zn+Cu)5
2.4000,-0.9000,28.9938,(Zn+Cu)5
2.4100,-0.8950,28.1871,(Zn+Cu)5
2.4200,-0.8900,28.0246,(Zn+Cu)5
2.4300,-0.8850,27.3312,(Zn+Cu)5
2.4400,-0.8800,26.8513,(Zn+Cu)5
2.4500,-0.8750,26.4161,(Zn+Cu)5
2.4600,-0.8700,26.3397,(Zn+Cu)5
2.4700,-0.8650,25.6212,(Zn+Cu)5
2.4800,-0.8600,26.1681,(Zn+Cu)5
2.4900,-0.8550,25.1414,(Zn+Cu)5
2.5000,-0.8500,25.5117,(Zn+Cu)5
2.5100,-0.8450,24.5608,(Zn+Cu)5
2.5200,-0.8400,24.8328,(Zn+Cu)5
2.5300,-0.8350,24.3687,(Zn+Cu)5
2.5400,-0.8300,24.5610,(Zn+Cu)5
2.5500,-0.8250,24.1462,(Zn+Cu)5
2.5600,-0.8200,24.3327,(Zn+Cu)5
2.5700,-0.8150,24.2005,(Zn+Cu)5
2.5800,-0.8100,24.1955,(Zn+Cu)5
2.5900,-0.8050,23.7711,(Zn+Cu)5
2.6000,-0.8000,23.6136,(Zn+Cu)5
2.6100,-0.7950,23.6248,(Zn+Cu)5
