time,volt,current,compound
0.0100,-1.6000,0.0000,(Zn+Cu)0.5
0.0200,-1.6000,0.0000,(Zn+Cu)0.5
0.0300,-1.6000,0.0000,(Zn+Cu)0.5
0.0400,-1.6000,0.0000,(Zn+Cu)0.5
0.0500,-1.6000,0.0000,(Zn+Cu)0.5
0.0600,-1.6000,0.0000,(Zn+Cu)0.5
0.0700,-1.6000,0.0000,(Zn+Cu)0.5
0.0800,-1.6000,0.0000,(Zn+Cu)0.5
0.0900,-1.6000,0.0000,(Zn+Cu)0.5
0.1000,-1.6000,0.0000,(Zn+Cu)0.5
0.1100,-1.6000,0.0000,(Zn+Cu)0.5
0.1200,-1.6000,0.0000,(Zn+Cu)0.5
0.1300,-1.6000,0.0000,(Zn+Cu)0.5
0.1400,-1.6000,0.0000,(Zn+Cu)0.5
0.1500,-1.6000,0.0000,(Zn+Cu)0.5
0.1600,-1.6000,0.0000,(Zn+Cu)0.5
0.1700,-1.6000,0.0000,(Zn+Cu)0.5
0.1800,-1.6000,0.0000,(Zn+Cu)0.5
0.1900,-1.6000,0.0000,(Zn+Cu)0.5
0.2000,-1.6000,0.0000,(Zn+Cu)0.5
0.2100,-1.6000,0.0000,(Zn+Cu)0.5
0.2200,-1.6000,0.0000,(Zn+Cu)0.5
0.2300,-1.6000,0.0000,(Zn+Cu)0.5
0.2400,-1.6000,0.0000,(Zn+Cu)0.5
0.2500,-1.6000,0.0000,(Zn+Cu)0.5
0.2600,-1.6000,0.0000,(Zn+Cu)0.5
0.2700,-1.6000,0.0000,(Zn+Cu)0.5
0.2800,-1.6000,0.0000,(Zn+Cu)0.5
0.2900,-1.6000,0.0000,(Zn+Cu)0.5
0.3000,-1.6000,0.0000,(Zn+Cu)0.5
0.3100,-1.6000,0.0000,(Zn+Cu)0.5
0.3200,-1.6000,0.0000,(Zn+Cu)0.5
0.3300,-1.6000,0.0000,(Zn+Cu)0.5
0.3400,-1.6000,0.0000,(Zn+Cu)0.5
0.3500,-1.6000,0.0000,(Zn+Cu)0.5
0.3600,-1.6000,0.0000,(Zn+Cu)0.5
0.3700,-1.6000,0.0000,(Zn+Cu)0.5
0.3800,-1.6000,0.0000,(Zn+Cu)0.5
0.3900,-1.6000,0.0000,(Zn+Cu)0.5
0.4000,-1.6000,0.0000,(Zn+Cu)0.5
0.4100,-1.6000,0.0000,(Zn+Cu)0.5
0.4200,-1.6000,0.0000,(Zn+Cu)0.5
0.4300,-1.6000,0.0000,(Zn+Cu)0.5
0.4400,-1.6000,0.0000,(Zn+Cu)0.5
0.4500,-1.6000,0.0000,(Zn+Cu)0.5
0.4600,-1.6000,0.0000,(Zn+Cu)0.5
0.4700,-1.6000,0.0000,(Zn+Cu)0.5
0.4800,-1.6000,0.0000,(Zn+Cu)0.5
0.4900,-1.6000,0.0000,(Zn+Cu)0.5
0.5000,-1.6000,0.0000,(Zn+Cu)0.5
0.5100,-1.6000,0.0000,(Zn+Cu)0.5
0.5200,-1.6000,0.0000,(Zn+Cu)0.5
0.5300,-1.6000,0.0000,(Zn+Cu)0.5
0.5400,-1.6000,0.0000,(Zn+Cu)0.5
0.5500,-1.6000,0.0000,(Zn+Cu)0.5
0.5600,-1.6000,0.0000,(Zn+Cu)0.5
0.5700,-1.6000,0.0000,(Zn+Cu)0.5
0.5800,-1.6000,0.0000,(Zn+Cu)0.5
0.5900,-1.6000,0.0000,(Zn+Cu)0.5
0.6000,-1.6000,0.0000,(Zn+Cu)0.5
0.6100,-1.6000,0.0000,(Zn+Cu)0.5
0.6200,-1.6000,0.0000,(Zn+Cu)0.5
0.6300,-1.6000,0.0000,(Zn+Cu)0.5
0.6400,-1.6000,0.0000,(Zn+Cu)0.5
0.6500,-1.6000,0.0000,(Zn+Cu)0.5
0.6600,-1.6000,0.0000,(Zn+Cu)0.5
0.6700,-1.6000,0.0000,(Zn+Cu)0.5
0.6800,-1.6000,0.0000,(Zn+Cu)0.5
0.6900,-1.6000,0.0000,(Zn+Cu)0.5
0.7000,-1.6000,0.0000,(Zn+Cu)0.5
0.7100,-1.6000,0.0000,(Zn+Cu)0.5
0.7200,-1.6000,0.0000,(Zn+Cu)0.5
0.7300,-1.6000,0.0000,(Zn+Cu)0.5
0.7400,-1.6000,0.0000,(Zn+Cu)0.5
0.7500,-1.6000,0.0000,(Zn+Cu)0.5
0.7600,-1.6000,0.0000,(Zn+Cu)0.5
0.7700,-1.6000,0.0000,(Zn+Cu)0.5
0.7800,-1.6000,0.0000,(Zn+Cu)0.5
0.7900,-1.6000,0.0000,(Zn+Cu)0.5
0.8000,-1.6000,0.0000,(Zn+Cu)0.5
0.8100,-1.6000,0.0000,(Zn+Cu)0.5
0.8200,-1.6000,0.0000,(Zn+Cu)0.5
0.8300,-1.6000,0.0000,(Zn+Cu)0.5
0.8400,-1.6000,0.0000,(Zn+Cu)0.5
0.8500,-1.6000,0.0000,(Zn+Cu)0.5
0.8600,-1.6000,0.0000,(Zn+Cu)0.5
0.8700,-1.6000,0.0000,(Zn+Cu)0.5
0.8800,-1.6000,0.0000,(Zn+Cu)0.5
0.8900,-1.6000,0.0000,(Zn+Cu)0.5
0.9000,-1.6000,0.0000,(Zn+Cu)0.5
0.9100,-1.6000,0.0000,(Zn+Cu)0.5
0.9200,-1.6000,0.0000,(Zn+Cu)0.5
0.9300,-1.6000,0.0000,(Zn+Cu)0.5
0.9400,-1.6000,0.0000,(Zn+Cu)0.5
0.9500,-1.6000,0.0000,(Zn+Cu)0.5
0.9600,-1.6000,0.0000,(Zn+Cu)0.5
0.9700,-1.6000,0.0000,(Zn+Cu)0.5
0.9800,-1.6000,0.0000,(Zn+Cu)0.5
0.9900,-1.6000,0.0000,(Zn+Cu)0.5
1.0100,-1.5950,0.0000,(Zn+Cu)0.5
1.0200,-1.5900,0.0000,(Zn+Cu)0.5
1.0300,-1.5850,0.0000,(Zn+Cu)0.5
1.0400,-1.5800,0.0000,(Zn+Cu)0.5
1.0500,-1.5750,0.0000,(Zn+Cu)0.5
1.0600,-1.5700,0.0000,(Zn+Cu)0.5
1.0700,-1.5650,0.0000,(Zn+Cu)0.5
1.0800,-1.5600,0.0000,(Zn+Cu)0.5
1.0900,-1.5550,0.0000,(Zn+Cu)0.5
1.1000,-1.5500,0.0000,(Zn+Cu)0.5
1.1100,-1.5450,8.2800,(Zn+Cu)0.5
1.1200,-1.5400,37.4938,(Zn+Cu)0.5
1.1300,-1.5350,71.5857,(Zn+Cu)0.5
1.1400,-1.5300,100.8611,(Zn+Cu)0.5
1.1500,-1.5250,127.7401,(Zn+Cu)0.5
1.1600,-1.5200,155.6019,(Zn+Cu)0.5
1.1700,-1.5150,182.6784,(Zn+Cu)0.5
1.1800,-1.5100,208.4177,(Zn+Cu)0.5
1.1900,-1.5050,235.1007,(Zn+Cu)0.5
1.2000,-1.5000,260.5754,(Zn+Cu)0.5
1.2100,-1.4950,291.1229,(Zn+Cu)0.5
1.2200,-1.4900,315.6864,(Zn+Cu)0.5
1.2300,-1.4850,339.7092,(Zn+Cu)0.5
1.2400,-1.4800,363.5359,(Zn+Cu)0.5
1.2500,-1.4750,387.1145,(Zn+Cu)0.5
1.2600,-1.4700,409.1498,(Zn+Cu)0.5
1.2700,-1.4650,431.5535,(Zn+Cu)0.5
1.2800,-1.4600,452.6490,(Zn+Cu)0.5
1.2900,-1.4550,477.9886,(Zn+Cu)0.5
1.3000,-1.4500,498.6038,(Zn+Cu)0.5
1.3100,-1.4450,495.6059,(Zn+Cu)0.5
1.3200,-1.4400,485.9729,(Zn+Cu)0.5
1.3300,-1.4350,471.1088,(Zn+Cu)0.5
1.3400,-1.4300,461.1137,(Zn+Cu)0.5
1.3500,-1.4250,451.7270,(Zn+Cu)0.5
1.3600,-1.4200,441.5199,(Zn+Cu)0.5
1.3700,-1.4150,431.3676,(Zn+Cu)0.5
1.3800,-1.4100,424.1354,(Zn+Cu)0.5
1.3900,-1.4050,414.5620,(Zn+Cu)0.5
1.4000,-1.4000,404.1388,(Zn+Cu)0.5
1.4100,-1.3950,389.2175,(Zn+Cu)0.5
1.4200,-1.3900,378.6069,(Zn+Cu)0.5
1.4300,-1.3850,368.9164,(Zn+Cu)0.5
1.4400,-1.3800,357.7910,(Zn+Cu)0.5
1.4500,-1.3750,348.0135,(Zn+Cu)0.5
1.4600,-1.3700,340.0708,(Zn+Cu)0.5
1.4700,-1.3650,330.0650,(Zn+Cu)0.5
1.4800,-1.3600,319.5605,(Zn+Cu)0.5
1.4900,-1.3550,305.3009,(Zn+Cu)0.5
1.5000,-1.3500,295.3783,(Zn+Cu)0.5
1.5100,-1.3450,285.1193,(Zn+Cu)0.5
1.5200,-1.3400,275.3348,(Zn+Cu)0.5
1.5300,-1.3350,266.2325,(Zn+Cu)0.5
1.5400,-1.3300,255.9069,(Zn+Cu)0.5
1.5500,-1.3250,248.3796,(Zn+Cu)0.5
1.5600,-1.3200,238.9760,(Zn+Cu)0.5
1.5700,-1.3150,229.2991,(Zn+Cu)0.5
1.5800,-1.3100,218.1406,(Zn+Cu)0.5
1.5900,-1.3050,208.8690,(Zn+Cu)0.5
1.6000,-1.3000,200.9091,(Zn+Cu)0.5
1.6100,-1.2950,192.7736,(Zn+Cu)0.5
1.6200,-1.2900,185.0357,(Zn+Cu)0.5
1.6300,-1.2850,178.4294,(Zn+Cu)0.5
1.6400,-1.2800,170.8783,(Zn+Cu)0.5
1.6500,-1.2750,163.8749,(Zn+Cu)0.5
1.6600,-1.2700,154.3846,(Zn+Cu)0.5
1.6700,-1.2650,147.4901,(Zn+Cu)0.5
1.6800,-1.2600,141.1845,(Zn+Cu)0.5
1.6900,-1.2550,135.0511,(Zn+Cu)0.5
1.7000,-1.2500,129.3005,(Zn+Cu)0.5
1.7100,-1.2450,124.0690,(Zn+Cu)0.5
1.7200,-1.2400,118.9904,(Zn+Cu)0.5
1.7300,-1.2350,113.8474,(Zn+Cu)0.5
1.7400,-1.2300,108.4701,(Zn+Cu)0.5
1.7500,-1.2250,102.7252,(Zn+Cu)0.5
1.7600,-1.2200,97.8412,(Zn+Cu)0.5
1.7700,-1.2150,93.5952,(Zn+Cu)0.5
1.7800,-1.2100,89.6099,(Zn+Cu)0.5
1.7900,-1.2050,85.1750,(Zn+Cu)0.5
1.8000,-1.2000,82.3838,(Zn+Cu)0.5
1.8100,-1.1950,78.6881,(Zn+Cu)0.5
1.8200,-1.1900,75.6633,(Zn+Cu)0.5
1.8300,-1.1850,70.9154,(Zn+Cu)0.5
1.8400,-1.1800,67.9433,(Zn+Cu)0.5
1.8500,-1.1750,65.1388,(Zn+Cu)0.5
1.8600,-1.1700,62.2808,(Zn+Cu)0.5
1.8700,-1.1650,60.0200,(Zn+Cu)0.5
1.8800,-1.1600,57.9318,(Zn+Cu)0.5
1.8900,-1.1550,55.5190,(Zn+Cu)0.5
1.9000,-1.1500,53.6107,(Zn+Cu)0.5
1.9100,-1.1450,51.9733,(Zn+Cu)0.5
1.9200,-1.1400,49.5070,(Zn+Cu)0.5
1.9300,-1.1350,48.3152,(Zn+Cu)0.5
1.9400,-1.1300,46.3273,(Zn+Cu)0.5
1.9500,-1.1250,45.4330,(Zn+Cu)0.5
1.9600,-1.1200,43.7693,(Zn+Cu)0.5
1.9700,-1.1150,43.0322,(Zn+Cu)0.5
1.9800,-1.1100,42.4434,(Zn+Cu)0.5
1.9900,-1.1050,41.1282,(Zn+Cu)0.5
2.0000,-1.1000,39.7850,(Zn+Cu)0.5
2.0100,-1.0950,38.9994,(Zn+Cu)0.5
2.0200,-1.0900,37.9754,(Zn+Cu)0.5
2.0300,-1.0850,36.9814,(Zn+Cu)0.5
2.0400,-1.0800,36.5516,(Zn+Cu)0.5
2.0500,-1.0750,36.1879,(Zn+Cu)0.5
2.0600,-1.0700,35.6629,(Zn+Cu)0.5
2.0700,-1.0650,34.9536,(Zn+Cu)0.5
2.0800,-1.0600,33.7759,(Zn+Cu)0.5
2.0900,-1.0550,33.1980,(Zn+Cu)0.5
2.1000,-1.0500,32.7622,(Zn+Cu)0.5
2.1100,-1.0450,32.1835,(Zn+Cu)0.5
2.1200,-1.0400,31.9315,(Zn+Cu)0.5
2.1300,-1.0350,31.3052,(Zn+Cu)0.5
2.1400,-1.0300,31.2347,(Zn+Cu)0.5
2.1500,-1.0250,31.0438,(Zn+Cu)0.5
2.1600,-1.0200,30.4815,(Zn+Cu)0.5
2.1700,-1.0150,30.0731,(Zn+Cu)0.5
2.1800,-1.0100,29.7429,(Zn+Cu)0.5
2.1900,-1.0050,29.2035,(Zn+Cu)0.5
2.2000,-1.0000,28.5840,(Zn+Cu)0.5
2.2100,-0.9950,28.2801,(Zn+Cu)0.5
2.2200,-0.9900,27.7851,(Zn+Cu)0.5
2.2300,-0.9850,27.4512,(Zn+Cu)0.5
2.2400,-0.9800,27.2133,(Zn+Cu)0.5
2.2500,-0.9750,26.1901,(Zn+Cu)0.5
2.2600,-0.9700,25.9964,(Zn+Cu)0.5
2.2700,-0.9650,25.1311,(Zn+Cu)0.5
2.2800,-0.9600,25.0571,(Zn+Cu)0.5
2.2900,-0.9550,24.8257,(Zn+Cu)0.5
2.3000,-0.9500,24.5958,(Zn+Cu)0.5
2.3100,-0.9450,24.1159,(Zn+Cu)0.5
2.3200,-0.9400,23.8022,(Zn+Cu)0.5
2.3300,-0.9350,23.6079,(Zn+Cu)0.5
2.3400,-0.9300,22.7789,(Zn+Cu)0.5
2.3500,-0.9250,22.4331,(Zn+Cu)0.5
2.3600,-0.9200,22.3193,(Zn+Cu)0.5
2.3700,-0.9150,22.2026,(Zn+Cu)0.5
2.3800,-0.9100,21.6604,(Zn+Cu)0.5
2.3900,-0.9050,21.9469,(Zn+Cu)0.5
2.4000,-0.9000,21.6075,(Zn+Cu)0.5
2.4100,-0.8950,21.5247,(Zn+Cu)0.5
2.4200,-0.8900,21.2934,(Zn+Cu)0.5
2.4300,-0.8850,20.7916,(Zn+Cu)0.5
2.4400,-0.8800,20.7895,(Zn+Cu)0.5
2.4500,-0.8750,20.4417,(Zn+Cu)0.5
2.4600,-0.8700,20.2193,(Zn+Cu)0.5
2.4700,-0.8650,20.2716,(Zn+Cu)0.5
2.4800,-0.8600,20.4209,(Zn+Cu)0.5
2.4900,-0.8550,19.7770,(Zn+Cu)0.5
2.5000,-0.8500,20.3074,(Zn+Cu)0.5
2.5100,-0.8450,19.6155,(Zn+Cu)0.5
2.5200,-0.8400,19.9827,(Zn+Cu)0.5
2.5300,-0.8350,19.4839,(Zn+Cu)0.5
2.5400,-0.8300,19.2866,(Zn+Cu)0.5
2.5500,-0.8250,19.3474,(Zn+Cu)0.5
2.5600,-0.8200,19.0968,(Zn+Cu)0.5
2.5700,-0.8150,19.2555,(Zn+Cu)0.5
2.5800,-0.8100,19.1847,(Zn+Cu)0.5
2.5900,-0.8050,19.0530,(Zn+Cu)0.5
2.6000,-0.8000,18.8079,(Zn+Cu)0.5
2.6100,-0.7950,19.2029,(Zn+Cu)0.5
2.6200,-0.7900,18.8972,(Zn+Cu)0.5
2.6300,-0.7850,19.0180,(Zn+Cu)0.5
2.6400,-0.7800,19.1581,(Zn+Cu)0.5
2.6500,-0.7750,19.0470,(Zn+Cu)0.5
2.6600,-0.7700,19.2190,(Zn+Cu)0.5
2.6700,-0.7650,19.2628,(Zn+Cu)0.5
2.6800,-0.7600,18.6535,(Zn+Cu)0.5
2.6900,-0.7550,18.5487,(Zn+Cu)0.5
2.7000,-0.7500,18.9042,(Zn+Cu)0.5
2.7100,-0.7450,18.6395,(Zn+Cu)0.5
2.7200,-0.7400,18.9886,(Zn+Cu)0.5
2.7300,-0.7350,19.1765,(Zn+Cu)0.5
2.7400,-0.7300,19.3119,(Zn+Cu)0.5
2.7500,-0.7250,19.0421,(Zn+Cu)0.5
2.7600,-0.7200,19.2825,(Zn+Cu)0.5
2.7700,-0.7150,18.8525,(Zn+Cu)0.5
2.7800,-0.7100,19.2624,(Zn+Cu)0.5
2.7900,-0.7050,19.1568,(Zn+Cu)0.5
2.8000,-0.7000,19.0343,(Zn+Cu)0.5
2.8100,-0.6950,19.4754,(Zn+Cu)0.5
2.8200,-0.6900,19.3465,(Zn+Cu)0.5
2.8300,-0.6850,19.5695,(Zn+Cu)0.5
2.8400,-0.6800,19.4645,(Zn+Cu)0.5
2.8500,-0.6750,19.7442,(Zn+Cu)0.5
2.8600,-0.6700,19.8143,(Zn+Cu)0.5
2.8700,-0.6650,20.0109,(Zn+Cu)0.5
2.8800,-0.6600,20.2283,(Zn+Cu)0.5
2.8900,-0.6550,20.8779,(Zn+Cu)0.5
2.9000,-0.6500,21.2512,(Zn+Cu)0.5
2.9100,-0.6450,21.7984,(Zn+Cu)0.5
2.9200,-0.6400,22.9645,(Zn+Cu)0.5
2.9300,-0.6350,24.1638,(Zn+Cu)0.5
2.9400,-0.6300,25.7107,(Zn+Cu)0.5
2.9500,-0.6250,27.1646,(Zn+Cu)0.5
2.9600,-0.6200,28.0092,(Zn+Cu)0.5
2.9700,-0.6150,28.1426,(Zn+Cu)0.5
2.9800,-0.6100,27.6721,(Zn+Cu)0.5
2.9900,-0.6050,25.6737,(Zn+Cu)0.5
3.0000,-0.6000,23.7954,(Zn+Cu)0.5
3.0100,-0.5950,22.7867,(Zn+Cu)0.5
3.0200,-0.5900,21.5105,(Zn+Cu)0.5
3.0300,-0.5850,21.1160,(Zn+Cu)0.5
3.0400,-0.5800,21.2435,(Zn+Cu)0.5
